!  TPOINT star catalogue.
!  FK5 stars.
!  Magnitude range  +4.0 to  +5.0
!  Complete set:  not gridded.
!  

000010 00 20 04.251 -64 52 29.25  +.2678  +1.164 J2000 ! +4.23
000015 00 31 24.988 -48 48 12.67  +.0145   +.018 J2000 ! +4.77
000016 00 32 59.982 +62 55 54.40  +.0004   -.003 J2000 ! +4.16
000018 00 36 52.858 +33 43 09.63  +.0012   -.004 J2000 ! +4.36
000019 00 38 33.350 +29 18 42.30  -.0174   -.254 J2000 ! +4.37
000023 00 43 21.223 -57 27 47.05  -.0008   +.011 J2000 ! +4.36
000025 00 44 43.524 +48 17 03.73  +.0020   -.008 J2000 ! +4.54
000027 00 47 20.330 +24 16 01.76  -.0073   -.083 J2000 ! +4.06
000028 00 48 40.950 +07 35 06.14  +.0057   -.052 J2000 ! +4.43
000035 00 58 36.363 -29 21 26.89  +.0017   +.004 J2000 ! +4.31
000036 01 02 56.613 +07 53 24.31  -.0053   +.023 J2000 ! +4.28
000043 01 11 39.629 +30 05 22.70  +.0055   -.035 J2000 ! +4.51
000045 01 19 27.994 +27 15 50.52  +.0019   -.013 J2000 ! +4.76
000046 01 25 56.018 +68 07 48.05  +.0133   +.026 J2000 ! +4.74
000056 01 41 25.897 +05 29 15.29  -.0014   +.002 J2000 ! +4.44
000057 01 43 39.639 +50 41 19.48  +.0027   -.014 J2000 ! +4.07
000060 01 45 23.629 +09 09 27.79  +.0050   +.048 J2000 ! +4.26
000065 01 53 33.346 +03 11 14.98  +.0015   +.023 J2000 ! +4.62
000067 01 53 38.757 -46 18 09.42  -.0083   -.087 J2000 ! +4.41
000069 01 54 56.116 -67 38 50.16  +.0130   +.074 J2000 ! +4.69
000071 02 00 00.308 -21 04 40.21  +.0097   -.024 J2000 ! +4.00
000079 02 17 18.870 +33 50 50.00  +.0038   -.051 J2000 ! +4.01
000085 02 28 09.541 +08 27 36.19  +.0027   -.009 J2000 ! +4.28
000086 02 26 59.137 -47 42 14.02  +.0023   -.010 J2000 ! +4.25
000091 02 39 28.953 +00 19 42.58  +.0009   -.004 J2000 ! +4.07
000093 02 44 11.986 +49 13 42.48  +.0343   -.090 J2000 ! +4.12
000094 02 43 27.112 +27 42 25.68  +.0006   -.012 J2000 ! +4.66
000095 02 39 35.361 -68 16 00.99  +.0155   -.002 J2000 ! +4.11
000097 02 44 07.351 -13 51 31.37  -.0005   -.015 J2000 ! +4.25
000098 02 44 56.537 +10 06 50.76  +.0192   -.036 J2000 ! +4.27
000101 02 49 05.429 -32 24 21.40  +.0071   +.155 J2000 ! +4.46
000102 02 51 02.324 -21 00 14.51  -.0033   -.020 J2000 ! +4.75
000112 03 09 04.016 +49 36 47.89  +.1299   -.091 J2000 ! +4.05
000114 03 11 37.756 +19 43 36.06  +.0107   -.011 J2000 ! +4.35
000119 03 19 55.669 -43 04 11.29  +.2777   +.725 J2000 ! +4.27
000122 03 29 04.132 +59 56 25.07  -.0003   -.004 J2000 ! +4.21
000124 03 30 34.486 +47 59 42.89  +.0004   +.020 J2000 ! +4.36
000125 03 30 52.382 +12 56 12.03  +.0013   -.002 J2000 ! +4.11
000126 03 29 22.678 -62 56 15.09  +.0561   +.372 J2000 ! +4.72
000130 03 37 05.679 -40 16 28.80  -.0005   -.030 J2000 ! +4.58
000133 03 42 14.912 -31 56 18.12  +.0007   +.014 J2000 ! +5.00
000138 03 50 21.500 +71 19 56.16  +.0035   -.043 J2000 ! +4.63
000140 03 46 50.889 -23 14 58.97  -.0115   -.529 J2000 ! +4.23
000143 03 49 27.257 -36 12 00.78  -.0038   -.051 J2000 ! +4.17
000148 03 58 57.900 +35 47 27.59  +.0002   +.000 J2000 ! +4.04
000152 04 08 39.685 +47 42 45.09  +.0020   -.031 J2000 ! +4.04
000154 04 11 51.936 -06 50 15.30  +.0007   +.082 J2000 ! +4.04
000157 04 16 01.601 -51 29 11.93  +.0113   +.182 J2000 ! +4.25
000158 04 20 24.640 +34 34 00.27  -.0020   -.005 J2000 ! +4.93
000174 04 42 14.703 +22 57 24.89  -.0001   -.016 J2000 ! +4.28
000176 04 45 30.146 -03 15 16.75  +.0011   -.013 J2000 ! +4.02
000178 04 54 03.016 +66 20 33.64  -.0001   +.006 J2000 ! +4.29
000182 05 03 25.089 +60 26 32.04  -.0009   -.016 J2000 ! +4.03
000184 05 03 05.739 +21 35 23.79  +.0047   -.042 J2000 ! +4.64
000189 05 05 30.650 -57 28 21.92  -.0037   +.115 J2000 ! +4.72
000190 05 09 08.783 -08 45 14.78  +.0002   -.004 J2000 ! +4.27
000192 05 13 25.714 +38 29 04.12  -.0015   -.075 J2000 ! +4.86
000196 05 13 45.438 -67 11 07.12  +.0033   +.036 J2000 ! +4.82
000197 05 17 29.079 -34 53 42.88  +.0073   -.337 J2000 ! +4.83
000208 05 34 49.239 +09 29 22.35  +.0002   -.004 J2000 ! +4.41
000232 06 07 34.322 +14 46 06.40  +.0004   -.021 J2000 ! +4.42
000234 06 18 50.787 +69 19 11.27  +.0003   -.107 J2000 ! +4.80
000235 06 10 17.898 -54 58 07.23  -.0004   +.005 J2000 ! +4.81
000237 06 19 37.382 +59 00 39.49  -.0011   +.026 J2000 ! +4.48
000238 06 16 33.125 -35 08 26.01  +.0000   +.086 J2000 ! +4.37
000242 06 24 53.892 +49 17 16.53  -.0002   -.001 J2000 ! +4.91
000244 06 23 46.084 +04 35 34.24  -.0012   +.011 J2000 ! +4.44
000249 06 35 03.372 -22 57 53.36  +.0008   +.016 J2000 ! +4.54
000258 06 47 51.640 +02 24 43.65  -.0012   -.012 J2000 ! +4.47
000260 07 00 04.006 +76 58 38.73  +.0210   -.013 J2000 ! +4.55
000266 06 54 11.396 -12 02 19.13  -.0093   -.013 J2000 ! +4.07
000271 07 03 45.485 -15 37 59.74  -.0001   -.008 J2000 ! +4.11
000274 07 11 39.318 +39 19 13.95  +.0038   +.004 J2000 ! +4.90
000275 07 12 33.638 -46 45 33.83  -.0128   +.103 J2000 ! +4.49
000286 07 29 06.700 +31 47 03.87  +.0121   +.176 J2000 ! +4.18
000287 07 34 35.997 +31 53 18.53  -.0135   -.099 J2000 ! +4.18
000288 07 34 03.176 -22 17 46.08  -.0029   +.046 J2000 ! +4.45
000290 07 37 22.094 -34 58 06.63  -.0018   +.014 J2000 ! +4.53
000292 07 43 00.409 +58 42 37.41  -.0048   -.051 J2000 ! +4.99
000304 07 59 44.148 -03 40 46.68  -.0036   -.004 J2000 ! +4.93
000305 08 03 31.078 +27 47 39.43  -.0019   -.042 J2000 ! +4.94
000307 08 08 27.436 +51 30 23.98  -.0063   -.004 J2000 ! +4.84
000311 08 13 19.963 -15 47 17.75  -.0009   -.004 J2000 ! +4.99
000313 08 18 33.318 -36 39 33.68  -.0088   +.097 J2000 ! +4.45
000314 08 22 50.122 +43 11 17.31  -.0020   -.096 J2000 ! +4.25
000318 08 20 38.515 -77 29 04.11  -.0411   +.042 J2000 ! +4.35
000324 08 37 38.650 -42 59 20.86  -.0006   +.008 J2000 ! +4.14
000325 08 40 01.464 -12 28 31.49  -.0055   -.002 J2000 ! +4.98
000328 08 46 41.813 +28 45 35.68  -.0019   -.042 J2000 ! +4.02
000332 08 50 31.935 -27 42 35.59  -.0098   +.087 J2000 ! +4.01
000337 08 58 29.224 +11 51 27.79  +.0023   -.031 J2000 ! +4.25
000338 09 02 32.702 +67 37 46.66  -.0038   +.019 J2000 ! +4.76
000343 09 02 26.804 -66 23 45.99  -.0003   -.096 J2000 ! +4.00
000356 09 29 14.725 -35 57 05.13  -.0018   +.001 J2000 ! +4.51
000357 09 34 28.874 +69 49 49.24  -.0122   +.077 J2000 ! +4.56
000360 09 34 13.378 +36 23 51.16  +.0005   -.022 J2000 ! +4.55
000366 09 44 12.110 -27 46 10.30  -.0036   +.035 J2000 ! +4.79
000373 09 54 52.209 -19 00 33.88  -.0033   -.037 J2000 ! +4.94
000378 10 00 12.810 +08 02 39.11  -.0021   -.023 J2000 ! +4.70
000387 10 24 07.852 +65 33 59.01  -.0013   -.022 J2000 ! +4.97
000390 10 27 53.009 +36 42 26.06  -.0098   -.101 J2000 ! +4.21
000391 10 24 23.660 -74 01 53.81  -.0051   -.026 J2000 ! +4.00
000392 10 27 09.120 -31 04 04.11  -.0058   +.011 J2000 ! +4.25
