!  TPOINT star catalogue.
!  FK5 stars.
!  Magnitude range -20.0 to  +1.0
!  Complete set:  not gridded.
!  

000054 01 37 42.852 -57 14 12.18  +.0117   -.035 J2000 !  +.46
000168 04 35 55.237 +16 30 33.39  +.0044   -.190 J2000 !  +.85
000193 05 16 41.353 +45 59 52.90  +.0073   -.425 J2000 !  +.08
000194 05 14 32.268 -08 12 05.98  +.0000   -.001 J2000 !  +.12
000224 05 55 10.307 +07 24 25.35  +.0017   +.009 J2000 !  +.40
000245 06 23 57.119 -52 41 44.50  +.0025   +.021 J2000 !  -.72
000257 06 45 08.871 -16 42 57.99  -.0385  -1.205 J2000 ! -1.46
000291 07 39 18.113 +05 13 30.06  -.0476  -1.023 J2000 !  +.38
000498 13 25 11.587 -11 09 40.71  -.0028   -.028 J2000 !  +.98
000518 14 03 49.408 -60 22 22.79  -.0043   -.019 J2000 !  +.61
000526 14 15 39.677 +19 10 56.71  -.0771  -1.998 J2000 !  -.04
000616 16 29 24.439 -26 25 55.15  -.0007   -.020 J2000 !  +.90
000699 18 36 56.332 +38 47 01.17  +.0173   +.286 J2000 !  +.03
000745 19 50 47.002 +08 52 06.03  +.0363   +.386 J2000 !  +.77
000815 21 44 11.164 +09 52 29.92  +.0021   -.001 J2000 !  +.70
END
